segment_number,macro_2020,nereo_2020,Kelp_2020
582,NA,NA,NA
583,NA,NA,NA
584,NA,NA,NA
585,NA,NA,NA
586,NA,NA,NA
587,NA,NA,NA
588,NA,NA,NA
589,NA,NA,NA
590,NA,NA,NA
591,NA,NA,NA
592,NA,NA,NA
900,NA,NA,NA
901,NA,NA,NA
902,NA,NA,NA
903,NA,NA,NA
904,NA,NA,NA
905,NA,NA,NA
906,NA,NA,NA
907,NA,NA,NA
908,NA,NA,NA
909,NA,NA,NA
910,NA,NA,NA
911,NA,NA,NA
912,NA,NA,NA
913,NA,NA,NA
914,NA,NA,NA
915,NA,NA,NA
916,NA,NA,NA
917,NA,NA,NA
918,NA,NA,NA
919,NA,NA,NA
920,NA,NA,NA
921,NA,NA,NA
922,NA,NA,NA
923,NA,NA,NA
924,NA,NA,NA
925,NA,NA,NA
926,NA,NA,NA
927,NA,NA,NA
928,NA,NA,NA
929,NA,NA,NA
930,NA,NA,NA
931,NA,NA,NA
932,NA,NA,NA
933,NA,NA,NA
934,NA,NA,NA
935,NA,NA,NA
936,NA,NA,NA
937,NA,NA,NA
938,NA,NA,NA
939,NA,NA,NA
940,NA,NA,NA
941,NA,NA,NA
942,NA,NA,NA
943,NA,NA,NA
944,NA,NA,NA
945,NA,NA,NA
946,NA,NA,NA
947,NA,NA,NA
948,NA,NA,NA
949,NA,NA,NA
950,NA,NA,NA
951,NA,NA,NA
952,NA,NA,NA
953,NA,NA,NA
954,NA,NA,NA
955,NA,NA,NA
1345,NA,NA,NA
1346,NA,NA,NA
1347,NA,NA,NA
1348,NA,NA,NA
1349,NA,NA,NA
1350,NA,NA,NA
1351,NA,NA,NA
1352,NA,NA,NA
2100,NA,NA,NA
2101,NA,NA,NA
2102,NA,NA,NA
2103,NA,NA,NA
2104,NA,NA,NA
2105,NA,NA,NA
2106,1,0,1
2107,1,0,1
2108,1,0,1
2109,NA,NA,NA
2110,NA,NA,NA
2111,NA,NA,NA
2112,NA,NA,NA
2113,NA,NA,NA
2114,NA,NA,NA
