FID,Segment,Start_Lati,Start_Long,End_Latitu,End_Longit,Shape_Leng,Kelp_2013,Comments_2,Kelp_2016,Comments_3,Line_Comme,Kelp_2018V,Validation,Date_of_sa,M_pyrifera,N_luetkean,Kelp_2018,Distance_f,Notes_2018,Kelp_2007,Nereocysti,Macrocysti,Date_2019,Macrocys_1,Nereocys_1,Kelp_2007_,Kelp_2019,Notes_Y,K2007binar,k2018binar,change2007,change_not,segment_nu,macro_2020,nereo_2020,kelp_2020
10,11,48.838125,-125.1431972,48.83790556,-125.1434444,30.59398849,NA, ,NA, , ,NA, ,20180810,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,11,NA,NA,NA
11,12,48.83790556,-125.1434444,48.83780833,-125.1438222,29.94646581,NA, ,NA, , ,NA, ,20180810,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,12,NA,NA,NA
12,13,48.83780833,-125.1438222,48.83756111,-125.1439806,30.030237,0, ,NA, , ,NA, ,20180810,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,13,NA,NA,NA
13,14,48.83756111,-125.1439806,48.83734444,-125.1438306,26.65159886,1, ,NA, , ,NA, ,20180810,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,14,NA,NA,NA
14,15,48.83734444,-125.1438306,48.83721111,-125.1436472,20.14830967,NA, ,NA, , ,NA, ,20180810,0,2,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,15,NA,NA,NA
15,16,48.83721111,-125.1436472,48.83732222,-125.1440194,30.16779405,NA, ,NA, , ,NA, ,20180810,0,2,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,16,NA,NA,NA
16,17,48.83732222,-125.1440194,48.83716111,-125.14435,30.34791502,1, ,0, , ,NA, ,20180810,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,17,NA,NA,NA
17,18,48.83716111,-125.14435,48.83690833,-125.1445056,30.52568835,0, ,0, , ,NA, ,20180810,0,1,1,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,0, ,18,NA,NA,NA
18,19,48.83690833,-125.1445056,48.83699167,-125.1441167,30.19673011,1, ,1, , ,NA, ,20180810,0,1,1,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,0, ,19,NA,NA,NA
19,20,48.83699167,-125.1441167,48.83697778,-125.1438028,23.23432122,NA, ,1, , ,NA, ,20180810,0,0,0,0,NA,2,1,2,NA,NA,NA,NA,NA,NA,1,0,1, ,20,NA,NA,NA
20,21,48.83697778,-125.1438028,48.836825,-125.1440194,23.41026125,NA, ,1, , ,NA, ,20180810,1,0,1,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,21,NA,NA,NA
21,22,48.836825,-125.1440194,48.83663611,-125.1439667,21.48776168,0, ,1, , ,NA, ,20180810,2,0,2,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,22,NA,NA,NA
22,23,48.83663611,-125.1439667,48.83655,-125.1435778,30.29406775,1, ,1, , ,NA, ,20180810,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,23,NA,NA,NA
23,24,48.83655,-125.1435778,48.83639167,-125.1435167,18.27913892,1, ,1, , ,1, ,20180810,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,24,NA,NA,NA
24,Island 1,48.83641389,-125.1445833,48.83648333,-125.1439472,47.61607524,1, ,1, , ,1, ,20180810,2,0,2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,Island 1,NA,NA,NA
25,25,48.83639167,-125.1435167,48.836175,-125.1436917,27.47054365,1, ,1, , ,1, ,20180810,2,0,2,1.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,25,NA,NA,NA
26,26,48.836175,-125.1436917,48.836025,-125.143725,16.96072491,NA, ,1, , ,1, ,20180810,2,0,2,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,26,NA,NA,NA
27,27,48.836025,-125.143725,48.83584722,-125.1437694,20.15790067,1, ,1, , ,1, ,20180810,2,0,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,27,NA,NA,NA
28,28,48.83584722,-125.1437694,48.83571389,-125.1437472,15.00632932,1, ,1, , ,1, ,20180810,2,0,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,28,NA,NA,NA
29,29,48.83571389,-125.1437472,48.83564444,-125.1438306,9.91509432,NA, ,1, , ,1, ,20180810,2,0,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,29,NA,NA,NA
30,30,48.83564444,-125.1438306,48.83539444,-125.1439889,30.31428021,NA, ,0, , ,1, ,20180810,1,0,1,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,30,NA,NA,NA
31,31,48.83539444,-125.1439889,48.83520833,-125.1442,26.01154029,NA, ,0, , ,NA, ,20180810,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,31,NA,NA,NA
32,32,48.83520833,-125.1442,48.83500833,-125.1442472,22.64520667,1, ,0, , ,NA, ,20180810,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,32,NA,NA,NA
33,33,48.83500833,-125.1442472,48.83477222,-125.1444222,29.40762073,1, ,0, , ,NA, ,20180810,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,33,NA,NA,NA
34,34,48.83477222,-125.1444222,48.83455,-125.1445889,27.74270617,1, ,NA, , ,NA, ,20180810,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,34,NA,NA,NA
35,35,48.83455,-125.1445889,48.83441389,-125.1447861,21.07128875,1, ,NA, , ,NA, ,20180810,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,35,NA,NA,NA
36,36,48.83441389,-125.1447861,48.83433611,-125.1451639,29.22827814,1, ,NA, , ,NA, ,20180810,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,36,NA,NA,NA
37,37,48.83433611,-125.1451639,48.83414722,-125.1454306,28.88886686,1, ,NA, , ,NA, ,20180810,2,0,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,37,NA,NA,NA
38,38,48.83414722,-125.1454306,48.83396667,-125.1457306,29.9823772,1, ,NA, , ,1, ,20180810,2,0,2,3.5,9 M. pyrifera offshore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,38,NA,NA,NA
39,39,48.83396667,-125.1457306,48.83372222,-125.1458972,29.9887193,1, ,NA, , ,1, ,20180810,2,0,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,39,NA,NA,NA
40,40,48.83372222,-125.1458972,48.83365556,-125.1462667,28.2908752,1, ,NA, , ,NA, ,20180810,2,0,2,0,sparsely extends 30 m from shore (M. pyrifera),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,40,NA,NA,NA
41,41,48.83365556,-125.1462667,48.83380278,-125.1466056,29.96303798,1, ,1, , ,1, ,20180810,2,0,2,0,sparsely extends 30 m from shore (M. pyrifera),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,41,NA,NA,NA
42,42,48.83380278,-125.1466056,48.83405278,-125.1466778,28.47281753,1, ,1, , ,1, ,20180810,2,0,2,1.5,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,42,NA,NA,NA
43,43,48.83405278,-125.1466778,48.83432222,-125.1466639,30.16136805,1, ,1, , ,1, ,20180810,2,0,2,1.55,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,43,NA,NA,NA
44,44,48.83432222,-125.1466639,48.83455833,-125.1467417,27.03279306,1, ,1, , ,1, ,20180810,2,0,2,1,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,44,NA,NA,NA
45,45,48.83455833,-125.1467417,48.83464167,-125.1470833,26.89686158,1, ,1, , ,1, ,20180810,2,0,2,2.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,45,NA,NA,NA
46,46,48.83464167,-125.1470833,48.83445833,-125.1473917,30.65147481,1, ,1, , ,NA, ,20180810,2,0,2,0.75,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,46,NA,NA,NA
47,47,48.83445833,-125.1473917,48.83426111,-125.1474333,22.27706749,1, ,1, , ,1, ,20180810,1,0,1,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,47,NA,NA,NA
48,48,48.83426111,-125.1474333,48.83399167,-125.1474222,30.15500816,1, ,1, , ,1, ,20180810,2,0,2,3.5,dense M. pyrifera,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,48,NA,NA,NA
49,49,48.83399167,-125.1474222,48.83400556,-125.1476194,14.64718562,NA, ,1, , ,NA, ,20180810,2,0,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,49,NA,NA,NA
50,50,48.83400556,-125.1476194,48.83385,-125.1478833,26.12985693,NA, ,0, , ,NA, ,20180810,2,0,2,2.5,"dense M. pyrifera,massive urchins in the Bay, and herring (or Chinook salmon?)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,50,NA,NA,NA
51,51,48.83385,-125.1478833,48.83397778,-125.1480333,18.08575668,NA, ,NA, , ,NA, ,20180810,2,0,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,51,NA,NA,NA
52,52,48.83397778,-125.1480333,48.83403611,-125.1484306,30.06007351,NA, ,NA, , ,NA, ,20180810,2,1,2,1,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,1,0, ,52,NA,NA,NA
53,53,48.83403611,-125.1484306,48.83390556,-125.1485833,18.45286585,NA, ,NA, , ,NA, ,20180810,2,1,2,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,0, ,53,NA,NA,NA
54,54,48.83390556,-125.1485833,48.83375833,-125.1489194,29.79098709,NA, ,NA, , ,NA, ,20180810,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,54,NA,NA,NA
55,55,48.83375833,-125.1489194,48.83353333,-125.1491194,29.18605635,NA, ,NA, , ,NA, ,20180810,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,55,NA,NA,NA
56,56,48.83353333,-125.1491194,48.83340833,-125.1491778,14.634532,0, ,NA, , ,NA, ,20180810,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,56,NA,NA,NA
57,57,48.83340833,-125.1491778,48.8332,-125.1493083,25.22138332,0, ,NA, , ,NA, ,20180810,0,2,2,0,about 27 floats of N. luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,57,NA,NA,NA
58,58,48.8332,-125.1493083,48.833125,-125.1490444,21.22037326,0, ,NA, , ,NA, ,20180810,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,58,NA,NA,NA
59,59,48.833125,-125.1490444,48.83299722,-125.1490417,14.29687409,0, ,1, , ,NA, ,20180810,0,2,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,59,NA,NA,NA
60,60,48.83299722,-125.1490417,48.83281944,-125.1487583,28.87396752,0, ,1, , ,NA, ,20180810,2,0,2,1.5,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,60,NA,NA,NA
61,61,48.83281944,-125.1487583,48.83270556,-125.1483944,29.74380585,NA, ,1, , ,NA, ,20180810,2,0,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,61,NA,NA,NA
62,62,48.83270556,-125.1483944,48.83248611,-125.1483806,24.57230313,NA, ,1, , ,NA, ,20180810,2,0,2,0.75,sparse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,62,NA,NA,NA
63,63,48.83248611,-125.1483806,48.83243611,-125.1487222,25.84282401,NA, ,0, , ,NA, ,20180810,2,0,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,63,NA,NA,NA
64,64,48.83243611,-125.1487222,48.83263611,-125.1489917,29.9475018,NA, ,1, , ,NA, ,20180810,2,0,2,3.5,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,64,NA,NA,NA
65,65,48.83263611,-125.1489917,48.83266667,-125.1493056,23.43490128,NA, ,1, , ,1, ,20180810,2,0,2,6,dense M. pyrifera,2,2,2,NA,NA,NA,NA,NA,NA,1,1,0, ,65,NA,NA,NA
66,66,48.83266667,-125.1493056,48.83276667,-125.1496417,27.22832695,1, ,1, , ,1, ,20180810,2,1,2,6,"dense M. pyrifera, 2 floats of N. luetkeana",2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,66,NA,NA,NA
67,71,48.83856389,-125.1350139,48.83883056,-125.1349833,29.91989894,1, ,1, , ,NA,Not in Image,20180811,2,1,2,2.5,1 float of N. luetkeana,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,71,1,0,1
68,72,48.83883056,-125.1349833,48.83909444,-125.1348972,30.19928524,1, ,1, , ,NA,Not in Image,20180811,2,1,2,3.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,72,1,0,1
69,73,48.83909444,-125.1348972,48.83935278,-125.1347778,30.21764571,1, ,1, , ,NA,Not in Image,20180811,2,0,2,3.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,73,0,0,0
70,74,48.83935278,-125.1347778,48.83960556,-125.1346306,30.29778874,NA, ,1, , ,NA,Not in Image,20180811,2,0,2,2.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,74,0,0,0
71,75,48.83960556,-125.1346306,48.83986389,-125.1345139,30.15897569,NA, ,1, , ,NA,Not in Image,20180811,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,75,0,0,0
72,76,48.83986389,-125.1345139,48.84013333,-125.1345028,30.1554954,NA, ,1, , ,NA,Not in Image,20180811,2,0,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,76,0,0,0
73,77,48.84013333,-125.1345028,48.84039444,-125.13445,29.47148966,0, ,1, , ,NA,Not in Image,20180811,2,0,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,77,0,0,0
74,78,48.84039444,-125.13445,48.840625,-125.1342306,30.46100453,NA, ,NA, , ,NA,Not in Image,20180811,1,0,1,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,78,0,0,0
75,79,48.840625,-125.1342306,48.84088611,-125.1341306,30.13138737,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,79,0,0,0
76,80,48.84088611,-125.1341306,48.84113889,-125.1340083,29.6876134,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,80,0,0,0
77,81,48.84113889,-125.1340083,48.841375,-125.1338417,29.14000122,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,81,0,0,0
78,82,48.841375,-125.1338417,48.84159722,-125.1336056,30.36579284,NA, ,NA, , ,NA,Not in Image,20180811,0,0,0,0,Lots of P. ochraceus and E. menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,82,0,0,0
79,83,48.84159722,-125.1336056,48.84181667,-125.1334056,28.65158827,NA, ,NA, , ,NA,Not in Image,20180811,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,83,0,0,0
80,84,48.84181667,-125.1334056,48.84205,-125.1332194,29.50441653,NA, ,NA, , ,NA,Not in Image,20180811,0,0,0,0,lots of P. ochraceus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,84,0,0,0
81,85,48.84205,-125.1332194,48.84221111,-125.13295,26.84516144,NA, ,NA, , ,NA,Not in Image,20180811,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,85,0,0,0
82,86,48.84221111,-125.13295,48.84246389,-125.1327972,30.44844292,NA, ,NA, , ,NA,Not in Image,20180811,1,0,1,0,not much M. pyrifera at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,86,0,0,0
83,87,48.84246389,-125.1327972,48.84268611,-125.1325667,30.13007826,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,87,0,0,0
84,88,48.84268611,-125.1325667,48.84281667,-125.1322167,29.68773491,NA, ,NA, , ,NA,Not in Image,20180811,0,0,0,0,about seven M. franciscanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,88,0,0,0
85,89,48.84281667,-125.1322167,48.84305833,-125.1321611,27.34643643,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,89,0,0,0
86,90,48.84305833,-125.1321611,48.84324722,-125.1318667,30.31844989,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,1.5,lots of encrusting coralline algae above,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,90,0,0,0
87,91,48.84324722,-125.1318667,48.84346944,-125.1316417,29.90240013,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,2.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,91,0,0,0
88,92,48.84346944,-125.1316417,48.84361389,-125.1314028,23.92462074,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,1.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,92,0,0,0
89,93,48.84361389,-125.1314028,48.84386667,-125.1312528,30.37236947,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,1,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,93,0,0,0
90,94,48.84386667,-125.1312528,48.844025,-125.1309889,26.33491746,NA, ,NA, , ,NA,Not in Image,20180811,1,0,1,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,94,0,0,0
91,95,48.844025,-125.1309889,48.84426667,-125.1308028,30.3295403,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,2.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,95,0,0,0
92,96,48.84426667,-125.1308028,48.84447778,-125.1305472,30.23368027,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,1.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,96,0,0,0
93,97,48.84447778,-125.1305472,48.84465278,-125.1302361,30.18372303,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,3.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,97,0,0,0
94,98,48.84465278,-125.1302361,48.84473056,-125.1298417,30.39566973,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,3.5,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,98,0,0,0
95,99,48.84473056,-125.1298417,48.84484722,-125.1294694,30.43236034,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,99,0,0,0
96,100,48.84484722,-125.1294694,48.84496667,-125.1291028,30.18950367,NA, ,NA, , ,NA,Not in Image,20180811,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,100,0,0,0
97,101,48.84496667,-125.129103,48.84511111,-125.1287639,29.80148833,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,1.5,"sparsely extends 30 m from shore, 1 plant every 10 m",2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,101,0,0,0
98,102,48.84511111,-125.1287639,48.84533056,-125.1285306,29.99279039,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,1.5,"sparsely extends 30 m from shore, 1 plant every 10 m",2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,102,0,0,0
99,103,48.84533056,-125.1285306,48.84558611,-125.1284028,30.10775369,NA, ,NA, , ,NA,Not in Image,20180811,2,0,2,2,less dense than above two segments,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,103,0,0,0
100,104,48.84558611,-125.1284028,48.84633611,-125.1285556,84.66413415,1, ,NA, , ,NA,Not in Image,20180811,2,0,2,0.75,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,104,0,0,0
101,105,48.84633611,-125.1285556,48.84624722,-125.1289417,30.19439191,1, ,0, , ,NA,Not in Image,20180811,1,0,1,0.75,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,0, ,105,0,0,0
102,106,48.84624722,-125.1289417,48.84624722,-125.1289417,0,0, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,106,0,0,0
103,107,48.84624722,-125.1289417,48.84632778,-125.1295333,44.60386489,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,107,0,0,0
104,108,48.84632778,-125.1295333,48.84658333,-125.1294111,29.98061892,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,108,0,0,0
105,109,48.84658333,-125.1294111,48.84685278,-125.1294111,30.14565287,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,109,0,0,0
106,110,48.84685278,-125.1294111,48.84711944,-125.1293917,29.86788251,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,110,0,0,0
107,111,48.847125,-125.1294194,48.84737222,-125.1292917,29.22169586,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,111,0,0,0
108,112,48.84737222,-125.1292917,48.84763611,-125.1292806,29.53498573,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,112,0,0,0
109,113,48.84763611,-125.1292806,48.84778889,-125.1290389,24.71165326,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,113,0,0,0
110,114,48.84778889,-125.1290389,48.84794722,-125.1287083,30.16058673,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,114,0,0,0
111,115,48.84794722,-125.1287083,48.84813056,-125.1284056,30.33619204,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,115,0,0,0
112,116,48.84813056,-125.1284056,48.84831389,-125.1281028,30.34082697,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,116,0,0,0
113,117,48.84831389,-125.1281028,48.84846389,-125.1278222,26.66256143,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,117,0,0,0
114,118,48.84846389,-125.1278222,48.84862222,-125.1274944,29.99328174,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,118,0,0,0
115,119,48.84862222,-125.1274944,48.84885556,-125.1272833,30.40499118,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,119,0,0,0
